college_code,branch_code,intake_capacity,fees_per_year,duration_years
05365,0536525110,60,,
04174,0417437210,60,,
06321,0632124210,120,,
06319,0631937210,60,,
03042,0304291810,60,,
03196,0319691110,120,,
03193,0319350710,60,,
04151,0415100210,90,,
06269,0626950710,60,,
02116,0211661510,30,,
02134,0213491210,60,,
03277,0327724610,60,,
06179,0617999510,60,,
06219,0621924210,120,,
04175,0417599710,60,,
05331,0533124510,180,,
05164,0516461210,30,,
05303,0530361210,60,,
04141,0414124510,60,,
04188,0418861210,30,,
02113,0211350110,60,,
06781,0678119110,60,,
04104,0410424610,60,,
04123,0412329310,120,,
03189,0318937210,120,,
03211,0321192010,60,,
03477,0347792110,120,,
03222,0322261210,30,,
03471,0347124610,60,,
04648,0464861210,30,,
06811,0681137210,60,,
03148,0314893310,60,,
06178,0617824610,120,,
01123,0112319110,60,,
05168,0516819110,30,,
05390,0539061210,60,,
03139,0313946110,60,,
06214,0621461210,120,,
03436,0343661210,30,,
06782,0678229310,60,,
06311,0631137210,60,,
04193,0419337010,60,,
06278,0627837210,60,,
06283,0628324210,180,,
05109,0510961210,90,,
01002,0100261210,60,,
05108,0510819110,120,,
06901,0690124210,90,,
06268,0626824210,300,,
02282,0228219110,60,,
06781,0678161210,60,,
01116,0111661210,60,,
16351,1635137210,60,,
03135,0313524610,120,,
03436,0343624610,60,,
03222,0322229310,30,,
03201,0320119110,60,,
03148,0314890010,120,,
01105,0110526310,120,,
05160,0516024610,120,,
03462,0346229310,30,,
02136,0213661210,180,,
03475,0347591110,180,,
03175,0317524510,180,,
05152,0515291110,60,,
06757,0675761210,30,,
03223,0322361210,60,,
06310,0631037210,120,,
03201,0320199510,60,,
02666,0266692110,30,,
05177,0517799510,120,,
05330,0533024510,120,,
06468,0646837210,60,,
04137,0413724610,120,,
03440,0344061210,90,,
03193,0319361210,60,,
06284,0628424510,240,,
04163,0416329310,60,,
03194,0319437210,60,,
02015,0201524510,60,,
04613,0461326510,60,,
04116,0411691110,180,,
06036,0603637210,60,,
06762,0676229310,60,,
04188,0418824210,90,,
05104,0510429310,60,,
06762,0676224210,120,,
03217,0321719110,60,,
04025,0402561210,60,,
06795,0679561210,30,,
06635,0663537210,60,,
06545,0654526310,60,,
06757,0675719110,30,,
02113,0211325710,120,,
16352,1635224210,120,,
06207,0620746610,30,,
01125,0112519110,60,,
02637,0263799710,60,,
02020,0202060610,60,,
04143,0414329310,54,,
06274,0627437210,120,,
01119,0111924210,120,,
04104,0410490010,60,,
03211,0321190010,60,,
04139,0413991110,180,,
02020,0202046610,40,,
06149,0614925210,60,,
03042,0304229310,60,,
05124,0512424510,120,,
04123,0412399510,120,,
16355,1635584410,60,,
06222,0622257010,30,,
06635,0663524510,120,,
05152,0515224210,240,,
06149,0614992110,120,,
06803,0680337910,30,,
05223,0522324510,60,,
02779,0277999510,60,,
03187,0318724610,180,,
06122,0612237210,120,,
06005,0600529310,60,,
01121,0112137210,60,,
05004,0500461210,60,,
06270,0627099510,60,,
03440,0344037210,45,,
03198,0319824610,60,,
05433,0543392110,120,,
06139,0613937210,120,,
04177,0417724610,60,,
05172,0517237210,120,,
03208,0320837210,60,,
03199,0319992010,60,,
03211,0321192110,60,,
03221,0322137210,60,,
05401,0540126310,120,,
05172,0517229310,60,,
06632,0663219110,30,,
03033,0303319110,46,,
06732,0673219110,120,,
03218,0321892110,60,,
01107,0110737210,60,,
06146,0614637210,180,,
04177,0417724210,240,,
03445,0344537210,30,,
06644,0664437210,30,,
04141,0414161210,60,,
04679,0467919110,60,,
02111,0211124210,90,,
03423,0342324510,240,,
06144,0614419110,30,,
06175,0617524610,120,,
03193,0319392110,30,,
03219,0321919110,30,,
01126,0112619110,60,,
04151,0415119110,90,,
02770,0277099510,60,,
04138,0413826010,180,,
03183,0318391110,120,,
06271,0627137210,240,,
06308,0630861210,60,,
03188,0318890010,120,,
03206,0320629310,60,,
06222,0622261210,60,,
06759,0675924510,60,,
04116,0411626010,60,,
06187,0618737210,120,,
03147,0314724610,60,,
03176,0317692110,240,,
01121,0112124210,120,,
06781,0678137210,60,,
06145,0614526310,60,,
03042,0304262410,60,,
06769,0676919110,90,,
03192,0319226310,60,,
05121,0512161210,120,,
03465,0346519110,30,,
03277,0327724510,120,,
03353,0335324610,30,,
01125,0112529310,30,,
06273,0627337210,360,,
06269,0626990010,120,,
01130,0113019110,30,,
06325,0632537810,60,,
06122,0612261210,120,,
04116,0411637210,60,,
06305,0630524210,60,,
03203,0320390010,60,,
05395,0539524510,60,,
06155,0615591110,180,,
03257,0325724610,60,,
03187,0318761210,60,,
04134,0413424210,60,,
06284,0628429310,60,,
06149,0614924510,180,,
06141,0614137210,120,,
04104,0410425110,120,,
04151,0415124210,180,,
04174,0417461210,60,,
06815,0681561210,60,,
